Origin,Destination,TemperatureC,WindSpeedKph,ScheduledDepartureHour,DelayMinutes
MAA,BOM,34.0,24.1,13,37
BLR,MAA,27.9,2.0,1,0
BOM,MAA,29.5,18.0,16,20
MAA,HYD,34.9,24.7,19,33
HYD,BLR,26.0,12.9,10,21
MAA,HYD,22.8,6.1,15,47
HYD,BOM,30.1,12.0,11,0
BLR,BOM,32.6,15.2,9,33
DEL,BOM,30.5,17.7,11,37
HYD,BOM,29.5,17.2,18,0
BOM,DEL,34.3,14.3,13,0
BOM,MAA,20.4,3.8,22,22
BLR,BOM,27.5,11.9,22,2
BOM,BLR,22.2,17.9,1,43
HYD,BLR,32.2,14.7,7,9
HYD,BOM,29.9,14.3,1,32
DEL,BLR,31.7,10.0,10,33
BOM,BLR,32.7,17.6,13,3
MAA,HYD,28.1,8.7,9,40
BLR,BOM,21.2,0.4,14,4
HYD,MAA,27.7,2.4,17,0
HYD,DEL,30.9,12.1,23,41
BOM,BLR,28.6,10.4,14,66
DEL,BLR,26.0,7.1,20,26
HYD,DEL,24.6,2.1,7,25
BLR,MAA,29.9,2.6,19,1
BOM,HYD,25.4,3.8,0,0
MAA,BOM,24.5,19.7,23,11
BLR,DEL,34.0,18.7,9,0
BOM,HYD,29.4,8.2,5,15
BLR,HYD,21.9,1.1,1,0
HYD,BLR,23.6,7.4,23,0
BOM,MAA,20.7,0.6,7,20
BLR,MAA,21.6,24.0,23,0
HYD,MAA,20.9,12.7,5,58
HYD,BOM,25.1,16.5,0,15
BLR,MAA,24.2,11.3,4,0
MAA,BOM,20.9,1.0,23,36
BOM,BLR,34.8,16.8,9,14
MAA,BLR,23.4,8.1,2,44
HYD,DEL,24.5,11.6,19,22
HYD,DEL,33.5,21.9,4,0
DEL,MAA,29.3,16.3,22,38
BLR,HYD,28.6,5.9,19,33
DEL,BLR,20.5,7.7,6,1
BOM,BLR,33.7,24.7,13,0
MAA,BLR,32.2,11.2,5,0
DEL,BOM,28.6,14.6,22,12
DEL,HYD,22.4,16.1,13,30
DEL,BLR,28.0,8.9,7,0
BLR,BOM,27.2,11.7,14,0
HYD,MAA,25.5,17.9,16,0
BOM,MAA,32.6,16.4,16,44
BOM,HYD,26.1,1.7,13,12
BOM,HYD,29.3,18.7,16,39
BOM,DEL,31.3,10.5,4,26
DEL,BOM,33.5,10.3,4,18
BOM,BLR,23.8,16.7,19,6
BOM,DEL,29.7,6.5,6,11
BLR,BOM,24.9,23.4,16,10
DEL,BOM,20.7,24.4,12,10
MAA,BOM,31.3,15.3,16,54
BOM,HYD,29.1,7.0,17,14
DEL,BLR,32.9,1.0,20,23
BLR,HYD,27.3,5.3,2,4
HYD,MAA,34.1,12.9,15,50
MAA,HYD,29.7,12.8,15,28
HYD,DEL,29.1,6.3,13,26
DEL,BLR,23.7,19.4,6,48
DEL,MAA,26.5,9.8,13,18
BOM,HYD,26.4,7.3,19,21
BOM,DEL,28.7,18.7,15,41
MAA,DEL,23.6,23.8,14,6
MAA,BOM,28.6,3.9,23,9
BLR,DEL,24.8,8.1,3,8
BLR,BOM,20.4,22.6,8,19
MAA,DEL,24.8,7.2,11,13
BOM,DEL,29.6,9.7,14,15
BLR,DEL,23.0,5.5,15,0
DEL,HYD,22.8,8.1,0,0
BOM,HYD,32.3,20.7,9,13
BOM,HYD,30.4,13.5,9,26
DEL,HYD,32.7,0.6,13,26
MAA,DEL,22.0,9.6,17,36
BLR,BOM,32.2,8.1,2,0
MAA,BOM,27.5,20.5,4,47
BLR,DEL,20.4,10.2,13,0
MAA,BOM,24.6,2.8,2,0
DEL,BOM,27.6,20.7,17,0
BOM,HYD,30.6,21.9,0,0
MAA,HYD,34.0,12.6,19,4
BOM,MAA,21.2,24.2,5,46
BOM,BLR,25.0,10.4,20,4
BLR,DEL,28.8,7.5,13,16
HYD,MAA,29.1,20.0,3,55
BOM,HYD,30.0,18.8,19,0
DEL,BOM,29.2,10.5,1,0
BLR,BOM,29.0,6.8,2,25
DEL,BOM,27.6,19.3,8,50
BLR,HYD,25.3,22.5,8,0
HYD,BLR,28.5,24.0,16,4
DEL,BLR,24.9,7.3,13,20
BLR,BOM,32.5,3.6,19,6
BLR,DEL,29.0,2.8,8,21
BLR,DEL,26.0,0.7,13,33
BOM,BLR,25.9,3.3,14,32
BLR,BOM,21.1,8.6,12,0
DEL,MAA,34.3,17.2,18,23
DEL,BOM,26.8,7.5,6,0
BOM,DEL,25.0,8.7,14,5
DEL,HYD,33.2,14.2,6,11
HYD,MAA,23.8,17.5,7,18
BOM,DEL,29.7,8.4,7,0
DEL,BLR,30.0,10.6,19,42
HYD,BOM,31.4,17.4,20,0
HYD,BLR,23.7,18.1,3,58
MAA,DEL,22.4,11.6,0,11
BLR,MAA,34.0,2.3,2,0
DEL,BLR,33.5,16.7,23,23
HYD,DEL,29.0,11.5,5,0
BOM,BLR,32.3,13.4,3,13
HYD,MAA,28.9,24.2,23,8
DEL,HYD,31.7,1.6,11,0
MAA,BLR,20.8,10.4,22,25
BLR,BOM,30.8,2.0,0,68
HYD,MAA,33.3,20.3,18,35
MAA,HYD,32.0,10.3,18,25
BOM,BLR,25.6,18.3,12,0
BLR,DEL,25.9,11.1,7,0
MAA,HYD,33.7,23.1,8,0
HYD,BOM,23.9,9.2,13,14
BOM,BLR,21.8,13.8,0,21
HYD,DEL,23.9,14.8,21,0
BLR,HYD,22.3,8.3,6,25
DEL,HYD,23.5,12.5,7,9
DEL,BOM,31.4,9.9,0,28
HYD,BLR,34.1,0.8,12,15
BLR,BOM,33.2,8.0,0,45
HYD,BLR,20.6,0.2,8,17
HYD,DEL,20.1,21.9,6,27
DEL,BLR,25.0,2.7,12,11
BOM,DEL,20.8,16.2,8,26
BLR,BOM,20.2,11.7,14,52
BLR,DEL,28.3,19.3,3,9
MAA,BLR,34.6,14.5,2,6
HYD,BLR,21.5,12.6,23,19
BOM,BLR,20.1,7.6,23,29
BOM,BLR,31.6,8.3,11,0
DEL,BLR,29.5,9.0,5,29
BOM,MAA,33.0,3.9,23,39
HYD,BOM,28.2,15.7,4,47
BLR,DEL,21.3,16.9,16,19
BLR,HYD,33.6,0.7,14,1
MAA,BLR,31.2,14.5,10,7
BLR,DEL,30.3,7.7,8,15
MAA,BOM,34.5,14.0,21,17
HYD,BOM,33.1,20.0,8,53
DEL,HYD,25.5,17.5,13,17
BOM,HYD,31.8,7.3,11,0
HYD,BLR,21.0,22.1,1,15
DEL,HYD,31.9,7.1,7,1
BLR,DEL,26.1,22.8,0,0
MAA,BLR,28.4,3.7,10,29
BOM,MAA,33.1,6.0,17,41
DEL,BLR,30.0,1.5,14,4
MAA,DEL,24.9,1.9,2,5
MAA,BLR,32.3,4.5,12,38
HYD,BOM,20.5,19.8,6,57
BLR,HYD,26.2,5.0,21,35
HYD,MAA,21.1,23.2,21,0
HYD,DEL,20.9,6.4,17,0
MAA,BLR,30.3,16.4,8,30
DEL,HYD,29.2,20.7,7,17
BLR,DEL,31.2,3.6,20,0
BLR,DEL,28.0,8.5,6,31
BLR,MAA,22.8,17.4,17,12
BLR,HYD,27.2,22.2,18,25
DEL,BOM,23.0,15.6,6,3
BLR,HYD,32.9,8.6,8,11
MAA,BLR,22.9,21.9,20,6
BLR,HYD,22.7,23.8,22,26
DEL,BOM,29.5,3.5,15,0
HYD,MAA,32.2,2.0,22,5
MAA,DEL,20.2,18.3,6,5
BOM,DEL,29.8,21.5,17,0
HYD,BOM,23.6,2.9,2,7
DEL,BLR,22.7,14.7,15,18
BLR,DEL,34.9,6.0,6,32
BOM,MAA,22.8,10.5,16,19
HYD,DEL,28.5,3.4,6,10
HYD,BOM,27.8,9.8,23,51
DEL,BLR,21.5,10.5,8,14
MAA,HYD,24.4,17.2,19,6
MAA,BOM,31.9,12.7,15,25
DEL,HYD,34.7,8.0,23,3
MAA,BLR,32.1,0.2,11,0
BLR,BOM,20.6,24.6,11,38
HYD,BOM,29.5,23.0,19,0
DEL,MAA,21.6,10.2,22,0
DEL,BOM,29.9,7.0,4,0
MAA,DEL,33.1,21.9,1,0
MAA,BOM,33.1,11.4,20,57
MAA,BOM,21.9,16.6,20,11
DEL,HYD,22.1,19.7,5,0
BOM,DEL,23.7,6.4,2,34
BOM,HYD,34.3,20.9,22,12
BOM,DEL,27.6,16.8,23,6
BOM,BLR,22.3,3.1,21,0
MAA,BOM,24.3,25.0,22,16
MAA,DEL,20.6,15.2,9,11
BOM,HYD,33.1,14.4,9,13
HYD,BLR,34.2,3.5,14,14
MAA,BOM,23.8,0.8,16,28
MAA,BLR,26.8,4.0,5,36
HYD,DEL,28.7,1.1,16,0
BOM,HYD,26.0,7.0,6,0
HYD,MAA,21.6,5.4,8,20
DEL,BOM,24.0,17.3,4,21
BOM,MAA,34.1,24.7,21,11
MAA,HYD,30.2,17.3,19,48
DEL,BLR,31.4,8.3,10,0
BOM,HYD,27.4,3.1,0,35
BOM,DEL,26.5,21.1,11,13
DEL,BLR,21.3,4.2,5,62
BLR,BOM,25.0,8.4,21,33
BOM,HYD,31.1,3.2,23,37
BOM,HYD,31.8,8.1,13,48
MAA,DEL,23.6,15.0,14,24
MAA,BLR,34.8,13.6,13,0
HYD,MAA,29.6,16.9,19,34
DEL,BLR,34.9,1.3,0,18
MAA,BLR,27.6,16.9,12,25
BOM,MAA,29.4,22.7,7,16
MAA,BOM,26.6,7.2,15,20
DEL,BLR,20.4,2.1,20,3
DEL,MAA,32.8,9.2,11,13
MAA,HYD,32.7,22.8,3,30
HYD,DEL,31.1,3.1,13,0
MAA,BOM,26.5,24.3,2,0
DEL,HYD,23.2,16.5,3,10
BLR,DEL,20.0,7.0,12,0
BLR,DEL,26.5,18.1,17,17
MAA,DEL,30.9,21.5,7,6
BOM,BLR,23.0,10.0,0,54
BOM,DEL,27.6,16.9,10,7
BLR,HYD,33.4,3.9,4,0
HYD,DEL,24.9,12.2,1,0
DEL,HYD,22.5,22.0,21,43
DEL,MAA,26.9,16.8,16,32
BLR,DEL,28.0,8.2,19,41
DEL,BOM,24.4,21.2,15,0
BLR,DEL,26.7,20.1,4,36
BOM,BLR,25.3,10.4,3,27
DEL,BOM,23.3,10.4,11,0
HYD,DEL,23.9,2.1,1,5
BLR,HYD,27.7,14.5,4,0
MAA,BOM,22.4,23.7,1,36
DEL,BOM,32.0,9.8,17,30
HYD,BOM,31.9,13.9,13,3
DEL,MAA,25.1,6.8,15,9
BOM,BLR,29.9,8.4,14,43
BLR,BOM,21.3,3.8,13,19
BLR,HYD,30.8,10.6,11,12
MAA,DEL,35.0,0.5,7,1
DEL,HYD,25.5,6.0,22,24
DEL,MAA,26.9,3.3,0,8
DEL,BLR,23.9,18.9,4,44
BOM,BLR,22.9,16.8,1,12
BOM,HYD,24.9,3.5,9,28
DEL,MAA,21.0,16.1,16,8
HYD,BOM,21.4,7.7,5,0
DEL,BLR,27.0,2.3,16,69
DEL,HYD,33.2,24.1,10,16
BLR,DEL,28.7,16.0,4,30
HYD,DEL,33.3,19.6,4,41
BOM,DEL,23.5,2.2,1,49
HYD,BOM,21.4,24.2,2,10
HYD,MAA,23.9,0.3,10,43
HYD,BLR,27.1,17.7,7,45
DEL,HYD,21.7,18.9,0,34
MAA,BLR,26.5,8.4,19,0
MAA,BLR,28.9,14.3,16,3
BLR,DEL,28.8,12.6,12,37
HYD,MAA,28.1,4.2,3,25
HYD,MAA,23.3,6.2,9,16
HYD,BOM,31.5,10.5,4,38
MAA,DEL,29.8,2.1,15,24
BLR,BOM,27.8,20.5,10,6
MAA,BOM,22.5,2.6,22,51
MAA,HYD,32.5,23.2,15,0
MAA,DEL,21.4,11.3,5,4
BOM,BLR,30.8,17.1,2,34
BOM,HYD,21.2,24.1,4,9
DEL,MAA,34.2,2.3,6,32
DEL,BLR,30.9,19.1,1,0
HYD,MAA,34.1,13.9,2,0
BOM,BLR,20.7,8.1,16,0
BOM,MAA,33.3,9.5,19,0
MAA,BLR,25.9,4.4,11,50
HYD,MAA,26.9,24.0,4,1
DEL,BLR,29.0,0.2,22,3
MAA,BOM,29.4,10.7,13,29
HYD,BOM,23.9,19.3,10,30
HYD,MAA,20.5,9.6,9,23
MAA,BLR,30.9,13.8,12,42
BLR,BOM,27.3,10.2,7,36
MAA,BOM,25.6,24.0,19,12
DEL,BOM,27.7,5.5,6,0
DEL,BLR,23.4,1.5,22,29
BLR,DEL,29.6,14.1,22,0
BOM,DEL,23.4,14.8,10,40
DEL,MAA,26.5,16.8,11,5
MAA,DEL,20.0,24.3,8,39
MAA,BOM,34.9,1.9,21,9
HYD,BLR,34.1,2.7,18,23
DEL,BLR,27.8,20.8,19,22
BOM,BLR,20.7,8.5,2,7
BLR,HYD,30.1,11.0,22,49
HYD,DEL,31.2,3.9,23,6
HYD,BOM,31.6,22.2,9,42
BOM,BLR,33.3,12.8,17,26
BLR,DEL,34.7,23.0,2,2
HYD,BOM,31.1,12.1,20,24
MAA,DEL,26.6,16.9,23,0
BLR,HYD,27.9,14.9,1,0
BLR,BOM,24.9,3.6,6,0
DEL,HYD,27.8,18.6,0,0
MAA,HYD,29.8,22.1,21,19
HYD,BLR,25.4,14.6,21,0
MAA,BLR,26.1,3.5,15,0
BLR,MAA,29.9,5.9,4,35
BLR,DEL,28.4,11.3,22,0
BOM,HYD,25.9,16.8,23,17
MAA,HYD,23.9,7.3,1,0
BLR,HYD,31.6,24.2,15,30
BOM,HYD,33.7,4.1,15,0
BLR,MAA,33.5,22.6,23,35
DEL,BLR,24.5,10.3,18,0
MAA,DEL,30.6,19.8,12,0
HYD,DEL,26.2,22.9,0,13
HYD,BLR,22.1,1.4,3,22
HYD,BLR,27.0,13.3,5,14
MAA,BOM,32.4,9.0,17,29
BLR,MAA,33.3,22.4,8,37
MAA,BLR,30.3,20.2,0,31
HYD,MAA,23.1,7.8,14,0
HYD,DEL,27.1,5.4,16,15
HYD,BOM,33.9,19.7,19,19
HYD,DEL,25.7,9.1,22,32
BLR,BOM,28.7,2.3,5,0
BLR,HYD,26.9,18.2,11,20
BLR,HYD,24.4,22.7,7,9
MAA,BLR,29.8,21.0,12,8
BOM,MAA,28.1,11.8,16,7
BOM,MAA,29.7,9.2,3,28
DEL,BLR,30.3,4.9,6,40
MAA,BOM,28.1,20.6,19,27
BOM,DEL,31.7,5.4,6,0
BOM,MAA,29.8,17.2,1,13
BLR,DEL,30.1,4.4,0,0
DEL,MAA,28.2,5.2,10,17
BLR,BOM,23.8,8.1,6,46
DEL,BOM,30.6,5.5,9,0
HYD,BLR,33.1,3.2,11,29
BLR,BOM,34.8,14.4,0,14
MAA,HYD,33.7,19.7,10,2
DEL,HYD,26.2,12.5,21,20
MAA,HYD,21.4,23.5,1,0
MAA,DEL,26.7,24.2,5,0
BLR,BOM,21.8,3.8,23,27
BOM,MAA,22.9,24.0,18,11
BLR,HYD,31.6,12.6,2,0
MAA,HYD,34.4,14.3,12,21
BLR,DEL,30.2,14.5,0,0
MAA,BLR,22.2,6.8,3,31
BOM,BLR,32.4,2.0,20,25
HYD,DEL,20.7,4.4,18,6
BLR,DEL,22.0,17.9,5,4
DEL,BLR,28.2,13.6,20,54
BLR,DEL,21.7,12.8,3,0
BOM,DEL,29.3,1.2,1,8
BLR,MAA,22.7,23.2,9,30
BLR,DEL,28.2,6.1,1,19
HYD,BLR,25.3,11.3,3,11
HYD,MAA,32.7,7.3,16,23
DEL,HYD,32.8,16.6,5,0
DEL,MAA,23.5,8.3,6,15
MAA,DEL,27.5,7.4,13,40
BOM,HYD,21.7,14.3,11,0
HYD,DEL,21.5,22.0,3,0
MAA,BOM,28.6,22.6,18,0
DEL,BLR,31.0,14.1,18,6
HYD,DEL,25.2,18.6,13,21
HYD,BLR,34.0,7.5,4,0
MAA,DEL,28.3,1.7,17,32
HYD,MAA,33.3,11.0,6,20
BOM,MAA,26.1,8.2,19,0
DEL,BLR,30.1,13.0,6,13
BOM,DEL,24.1,22.9,23,9
MAA,HYD,34.9,6.8,6,0
MAA,DEL,27.6,1.7,1,0
BOM,HYD,26.5,18.5,18,0
HYD,BOM,30.7,2.4,16,58
HYD,DEL,25.5,1.7,10,21
BLR,DEL,27.4,4.3,20,29
BLR,MAA,28.3,13.0,0,0
DEL,BLR,29.6,2.4,2,28
DEL,BOM,29.6,24.7,0,20
BLR,HYD,23.7,10.8,9,26
BOM,HYD,21.7,7.1,20,30
DEL,HYD,28.1,13.5,12,52
DEL,BOM,27.7,10.9,13,0
BOM,HYD,20.0,12.4,4,10
DEL,MAA,34.4,5.0,21,28
MAA,HYD,34.9,9.4,13,41
DEL,MAA,33.6,13.3,17,28
MAA,BOM,20.1,22.4,23,20
BOM,HYD,30.8,6.1,6,42
MAA,HYD,24.5,21.1,9,29
MAA,DEL,22.4,12.8,16,4
DEL,MAA,28.7,19.4,18,32
BLR,BOM,31.0,1.3,20,35
MAA,DEL,27.4,17.3,13,20
BOM,DEL,20.7,9.7,23,63
HYD,BLR,34.2,19.6,2,28
HYD,BLR,28.4,5.3,13,31
BOM,BLR,25.3,17.9,22,19
HYD,BOM,24.6,8.5,11,0
MAA,BOM,20.6,12.4,2,28
HYD,BLR,30.8,11.9,6,0
BOM,HYD,20.4,20.2,15,43
DEL,MAA,24.3,8.2,5,27
MAA,DEL,21.4,15.7,6,30
BLR,HYD,34.4,19.8,16,0
MAA,BOM,27.1,16.4,7,15
HYD,BLR,33.4,24.1,11,0
DEL,MAA,24.6,12.8,21,0
BLR,HYD,24.5,19.6,22,9
BOM,DEL,23.8,13.4,20,0
BOM,BLR,21.8,12.1,15,16
HYD,DEL,33.0,7.8,10,33
BLR,HYD,31.5,18.3,7,34
HYD,MAA,25.9,9.0,3,18
BOM,MAA,30.5,18.9,20,11
DEL,BLR,23.0,5.2,8,48
BLR,MAA,33.4,7.1,8,10
BOM,DEL,20.8,11.4,5,30
MAA,BOM,30.6,23.0,10,43
HYD,MAA,32.5,5.7,7,6
DEL,BOM,33.7,7.8,23,0
HYD,DEL,23.1,12.9,20,14
BLR,HYD,21.1,10.9,19,0
MAA,BLR,21.2,16.3,9,42
DEL,HYD,31.0,0.2,7,0
BOM,HYD,24.2,10.3,9,43
HYD,BLR,23.7,20.1,0,49
HYD,MAA,26.4,12.0,8,10
BOM,HYD,32.0,23.2,22,45
MAA,BOM,30.1,4.8,16,20
BOM,DEL,20.9,11.6,3,37
HYD,BOM,34.4,22.2,13,16
BLR,DEL,31.7,18.4,8,23
MAA,DEL,21.1,17.7,1,13
BOM,DEL,22.3,11.5,0,8
MAA,BLR,33.0,20.2,11,0
DEL,MAA,26.9,1.6,10,18
MAA,BOM,23.4,24.4,8,10
BOM,DEL,31.0,7.6,13,4
HYD,DEL,24.7,18.3,15,14
MAA,HYD,21.3,22.4,20,27
HYD,BLR,29.0,17.1,21,31
BOM,HYD,20.9,1.1,9,43
BOM,MAA,25.6,2.4,10,26
DEL,BLR,34.8,22.6,21,0
BLR,HYD,30.0,0.5,18,1
MAA,BLR,32.7,6.9,18,57
DEL,MAA,21.2,3.0,16,3
DEL,MAA,23.9,9.1,18,1
DEL,MAA,20.6,3.8,17,28
HYD,DEL,26.1,13.8,10,0
HYD,BOM,23.4,10.9,4,23
DEL,HYD,30.1,9.3,15,9
HYD,MAA,26.9,17.1,2,8
BOM,HYD,21.2,4.3,6,31
HYD,MAA,22.7,14.6,13,35
BOM,DEL,20.7,16.1,4,54
BLR,HYD,31.0,6.8,22,1
MAA,BOM,25.4,0.6,20,34
BOM,HYD,24.9,12.6,8,32
HYD,MAA,20.8,1.3,12,0
HYD,DEL,28.3,15.4,21,0
BOM,HYD,21.4,0.9,6,11
HYD,MAA,29.8,12.2,1,2
HYD,MAA,25.6,16.1,7,0
HYD,BLR,27.6,19.6,23,20
HYD,MAA,21.2,0.9,17,30
BLR,HYD,34.8,14.8,6,19
HYD,BOM,21.5,17.8,22,25
MAA,DEL,22.0,17.3,15,6
HYD,BOM,33.7,22.6,15,48
MAA,DEL,26.9,3.5,12,16
BOM,DEL,20.2,10.4,20,15
BLR,MAA,32.0,10.8,17,20
DEL,BOM,30.1,17.4,9,0
MAA,HYD,22.8,20.9,6,0
MAA,BLR,27.5,9.2,14,6
HYD,BLR,23.9,17.4,23,19
BOM,MAA,30.7,5.3,1,0
BOM,MAA,23.0,3.4,18,19
BLR,HYD,29.7,22.9,13,8
BOM,HYD,25.3,16.6,17,0
MAA,BOM,22.5,5.7,16,0
BOM,HYD,32.3,11.1,2,24
DEL,BOM,31.5,3.5,0,11
BLR,DEL,34.8,6.8,21,15
BLR,MAA,29.7,23.4,19,16
HYD,DEL,24.7,1.0,16,10
HYD,MAA,28.7,6.7,23,3
BLR,DEL,31.6,24.3,20,26
MAA,DEL,20.3,8.2,3,8
HYD,MAA,25.2,5.4,5,51
DEL,BOM,34.6,24.2,22,3
BOM,BLR,20.1,7.0,9,5
HYD,BOM,25.9,24.3,22,0
BOM,HYD,20.2,6.0,0,1
BLR,HYD,23.0,5.4,11,20
MAA,BOM,24.2,18.4,18,4
BLR,BOM,29.6,23.7,22,27
BLR,HYD,29.1,20.8,0,7
MAA,BLR,34.1,16.9,5,20
BOM,MAA,25.0,3.0,0,0
MAA,BOM,32.6,14.7,3,35
DEL,MAA,20.6,23.1,21,0
DEL,MAA,25.2,17.3,2,22
DEL,BLR,20.7,19.0,21,0
DEL,MAA,32.1,19.6,5,0
HYD,MAA,26.7,3.6,8,18
BOM,MAA,20.8,2.7,16,30
DEL,BOM,24.5,7.4,1,0
HYD,BOM,21.3,13.9,11,0
BOM,HYD,28.9,24.1,17,35
BOM,BLR,24.8,16.8,4,2
HYD,BLR,28.9,18.2,6,0
BLR,BOM,34.0,10.1,15,10
MAA,DEL,30.6,17.8,14,0
DEL,BOM,25.3,16.2,4,0
BOM,HYD,29.9,4.5,7,0
BLR,BOM,23.9,10.6,14,4
DEL,BOM,31.7,5.0,9,19
BLR,HYD,33.2,19.4,2,0
BOM,MAA,29.8,4.2,10,3
MAA,BOM,20.2,11.7,6,23
MAA,HYD,32.1,5.2,18,0
DEL,BLR,27.9,6.6,14,0
BOM,BLR,28.5,19.9,2,26
BOM,MAA,27.3,4.6,8,17
DEL,HYD,26.2,3.9,5,21
HYD,MAA,23.6,24.2,8,17
BLR,HYD,20.4,20.4,8,0
BLR,BOM,24.9,3.4,0,0
BLR,HYD,33.1,21.9,4,14
BOM,DEL,32.9,23.9,23,61
MAA,BLR,25.1,6.3,13,16
BOM,HYD,26.6,20.6,2,6
MAA,BOM,29.2,19.3,1,0
BOM,MAA,29.9,8.5,16,0
MAA,BLR,21.2,0.0,0,0
BOM,HYD,23.7,24.8,0,31
MAA,DEL,33.0,17.5,15,24
MAA,HYD,27.6,8.3,19,0
MAA,HYD,30.3,22.7,20,0
BLR,DEL,23.3,8.9,21,33
BOM,DEL,22.1,11.8,12,0
DEL,HYD,31.0,13.4,22,22
DEL,BLR,25.3,1.1,12,23
MAA,HYD,25.5,6.4,20,18
BOM,MAA,20.8,23.2,12,25
MAA,BOM,33.9,18.9,11,20
MAA,BOM,22.9,18.9,13,0
BOM,HYD,32.4,12.9,10,6
BOM,HYD,32.3,4.8,23,24
DEL,HYD,24.4,11.7,5,0
MAA,HYD,24.6,6.2,12,0
BOM,HYD,33.6,7.8,4,9
BLR,HYD,24.9,8.4,14,10
HYD,BOM,30.4,10.5,19,19
BOM,BLR,33.8,22.9,16,9
HYD,BOM,30.5,19.9,14,7
MAA,BLR,28.7,18.9,1,8
BLR,BOM,20.2,1.6,22,38
BOM,DEL,22.3,13.9,1,21
MAA,BOM,32.7,18.6,23,11
DEL,BOM,28.5,9.0,18,0
BOM,HYD,28.2,6.0,23,26
HYD,DEL,26.7,6.3,17,31
DEL,BOM,31.5,2.7,21,29
BLR,HYD,23.4,4.1,11,23
MAA,BLR,30.3,16.7,4,44
HYD,BOM,25.6,1.7,0,60
HYD,BLR,27.7,8.9,2,22
DEL,BOM,23.8,13.8,17,0
DEL,MAA,32.3,2.4,7,0
BOM,HYD,26.4,12.2,11,13
MAA,DEL,34.2,16.3,12,0
BLR,BOM,22.8,5.2,1,13
HYD,MAA,24.7,21.3,11,45
DEL,BOM,21.8,12.8,15,0
BLR,BOM,26.2,6.2,17,0
DEL,BLR,33.9,14.1,15,0
DEL,BLR,22.3,9.2,9,23
BLR,HYD,30.9,13.0,10,10
MAA,DEL,22.4,15.4,15,2
BOM,BLR,34.8,6.0,15,34
BOM,HYD,34.8,11.1,0,14
DEL,BOM,23.8,23.2,15,0
HYD,MAA,29.5,17.4,8,0
MAA,DEL,23.5,0.8,19,4
BOM,MAA,34.1,22.6,19,0
MAA,BOM,20.7,19.5,8,22
BLR,BOM,24.2,4.3,20,32
MAA,HYD,31.5,2.4,13,0
HYD,BLR,29.7,19.0,17,13
HYD,BLR,24.8,21.3,6,61
MAA,HYD,24.2,24.9,21,23
MAA,DEL,30.2,5.5,16,29
BOM,HYD,31.6,22.1,2,23
HYD,BOM,24.6,9.6,13,3
HYD,DEL,20.2,17.7,0,20
BLR,HYD,21.7,22.2,19,0
BOM,DEL,28.6,23.6,15,43
MAA,DEL,32.9,2.2,2,19
HYD,DEL,29.1,11.6,16,48
BOM,BLR,25.4,3.4,15,31
DEL,BOM,34.1,3.1,15,21
HYD,BOM,33.7,18.0,20,0
DEL,MAA,25.0,24.6,15,0
DEL,BOM,34.7,2.2,13,17
BOM,MAA,33.1,2.2,15,0
MAA,HYD,31.1,24.0,9,0
DEL,HYD,24.9,19.2,10,19
HYD,BLR,24.2,19.1,8,29
BOM,DEL,22.5,3.7,11,28
MAA,BOM,31.4,23.5,5,62
BOM,DEL,31.0,3.9,18,0
DEL,BOM,24.9,14.6,15,0
BOM,MAA,29.7,6.6,4,37
DEL,BLR,30.0,2.0,2,18
DEL,HYD,25.4,8.7,6,6
BLR,BOM,24.2,11.6,15,3
DEL,MAA,24.9,7.3,20,30
BLR,DEL,31.8,0.5,2,0
DEL,BLR,23.1,3.1,22,40
MAA,BOM,22.6,7.4,11,19
BOM,BLR,25.2,13.3,17,34
BLR,BOM,28.6,24.3,23,4
BLR,DEL,31.0,15.7,20,33
MAA,DEL,22.8,19.1,23,40
HYD,BLR,33.8,11.4,13,30
DEL,HYD,24.1,18.5,0,7
MAA,BOM,20.9,11.7,9,39
BLR,DEL,22.3,2.6,7,36
MAA,HYD,27.8,18.9,14,23
BLR,DEL,22.3,6.7,22,44
BOM,MAA,32.5,11.9,1,33
BOM,DEL,24.6,13.6,13,37
BOM,HYD,25.1,13.8,1,12
BLR,BOM,34.6,18.0,3,24
MAA,BLR,23.2,5.2,3,0
DEL,BOM,21.7,16.3,20,21
DEL,BOM,26.8,3.7,1,0
BLR,HYD,24.2,22.1,23,40
BOM,DEL,21.7,12.2,18,0
BOM,MAA,25.6,3.3,20,0
BOM,DEL,23.0,0.8,2,24
BLR,HYD,35.0,23.9,4,26
HYD,DEL,27.7,24.1,9,37
BLR,HYD,22.1,9.9,3,0
BOM,MAA,33.6,19.7,9,13
BOM,MAA,26.4,6.6,17,0
HYD,BLR,34.8,19.8,22,39
BLR,BOM,33.3,1.1,22,3
BOM,BLR,25.8,3.6,5,16
HYD,DEL,24.8,10.2,12,55
MAA,HYD,20.9,17.6,1,58
MAA,HYD,32.1,17.1,23,64
HYD,BOM,32.9,11.9,12,0
BLR,BOM,34.1,3.8,1,0
MAA,BLR,31.3,10.3,20,39
HYD,BLR,27.1,5.1,16,0
BOM,BLR,34.9,7.7,10,11
BOM,BLR,33.4,8.6,13,53
HYD,BLR,29.1,7.9,4,0
HYD,DEL,34.1,10.5,22,0
BOM,DEL,30.3,12.3,16,13
HYD,MAA,21.6,4.5,3,0
BLR,BOM,24.3,15.4,10,14
BOM,DEL,34.3,11.2,1,39
